2012年家户号,2011-2012全部家庭纯收入,同灶吃饭成员的总人数
140086,43300,6
140088,62500,6
140089,7100,4
140090,23690,4
140092,43831,4
140093,33600,4
140094,20601,4
140095,2160,4
140096,17500,4
140097,31940,6
140098,31000,4
140099,176981,6
140100,20201,2
140101,7000,3
140102,20201,4
140103,17800,4
140104,13000,5
140105,8301,6
140106,5091,3
140107,8800,2
140108,25300,4
140110,14980,3
140111,78001,3
140112,17421,2
140113,500,2
140115,7630,2
140116,61920,5
140117,29750,2
140118,37600,4
140119,3600,2
140120,13000,5
140121,13700,4
140122,40601,4
140123,54700,4
140125,8550,2
140126,7912,2
140127,38680,4
140128,4530,4
140131,7300,2
140132,44300,6
140133,31100,4
140135,58790,6
140137,6900,3
140138,10000,4
140139,29900,4
140140,33545,4
140141,6200,2
140144,1800,1
140145,25300,3
140146,46200,7
140147,35640,3
140149,156650,5
140150,46000,9
140151,560,2
140152,39000,5
140153,42180,4
140154,51520,9
140155,36000,4
140156,37480,6
140157,58000,3
140158,27880,4
140159,21260,2
140162,35531,9
140166,31900,2
140167,5500,3
140168,66400,6
140170,2000,2
140171,1200,5
140173,41564,3
140177,24400,5
140179,155080,4
140180,9900,2
140183,34400,6
140184,21500,4
140185,14200,3
140186,48600,5
140187,48490,4
140188,33700,5
140189,84000,2
140190,28260,3
140191,62800,3
140192,27500,3
140194,4500,2
140195,16400,4
140196,96500,3
140198,9000,4
140199,79600,5
140200,41550,5
140201,16300,3
140203,30509,7
140204,2800,2
140205,16900,2
140208,104300,7
140209,33270,5
140210,19500,4
140211,18140,2
140212,116800,5
140213,1700,2
140214,17250,2
140215,29000,2
140216,3700,7
140217,15740,5
140218,1950,2
140219,19200,2
140220,2000,5
140221,31200,7
140222,2800,8
140223,100,6
140224,1000,2
140227,54000,2
140228,300,1
140229,40400,6
140232,36000,5
140233,2900,2
140235,2620,2
140241,32500,6
140245,1100,2
140250,200,2
140252,1532,2
140254,2733,2
140259,30000,3
140261,375750,4
140274,10000,3
140292,37500,3
140293,50000,4
140294,46600,4
140296,199300,4
140297,11800,5
140302,4200,6
140303,200,2
140304,2300,7
140307,66570,4
140309,28800,7
140311,24320,6
140312,2800,3
140313,16650,3
140314,2800,2
140316,3500,2
140318,60740,4
140320,33820,5
140321,12900,4
140322,16000,3
140323,20200,3
140324,24800,4
140325,95240,3
140326,4200,2
140327,16300,5
140328,23800,4
140329,77920,3
140330,68160,5
140333,27800,4
140334,39240,5
140336,46400,3
140338,76601,5
140339,14900,3
140340,39000,6
140343,4600,3
140344,65000,5
140346,83300,4
140347,89300,8
140348,7400,3
140351,15800,3
140352,4100,5
140353,48400,3
140355,239146,6
140356,19500,3
140357,16910,4
140358,11040,6
140359,11028,4
140360,8697,5
140361,15650,2
140363,4120,2
140364,30020,3
140365,217640,10
140368,50200,5
140369,10370,3
140370,63460,6
140371,36920,5
140372,31200,2
140374,56800,5
140375,10650,2
140376,17940,6
140379,16500,4
140381,19200,2
140385,25000,2
140386,8000,3
140391,10600,5
140392,17712,2
140393,5000,3
140397,33000,4
140399,70000,3
140400,24500,2
140403,30000,2
140404,51600,3
140408,44000,4
140411,31000,2
140412,21600,2
140416,33800,5
140422,68400,2
140444,5000,3
140445,9600,4
140448,36000,2
140477,46800,2
140480,3600,1
140482,24000,6
140483,6000,1
140484,12000,5
140486,20000,4
140487,51000,6
140488,36000,2
140489,60000,5
140491,60000,3
140493,93720,5
140494,23000,3
140496,2400,6
140505,20000,3
140508,42000,5
140509,3500,5
140513,22600,7
140515,24200,4
140516,9860,6
140517,29900,4
140518,400,2
140519,38080,6
140521,9000,4
140522,35850,4
140523,7000,6
140525,4500,5
140526,52200,5
140529,550,2
140531,50600,8
140532,3400,2
140533,4200,4
140534,3900,2
140536,13200,3
140538,68700,3
140540,20401,6
140542,100800,3
140543,425000,4
140547,5600,1
140548,112122,6
140551,451400,4
140554,106700,2
140555,483600,5
140556,243600,3
140563,258150,6
140568,108196,2
140569,2400,2
